Concrete,Strand,Rebar,Span_ft,L_sq,ratio_strand_concrete,ratio_rebar_concrete,interaction_strand_L
505.0,1.73,2.82,140.0,19600.0,0.0034257425742574257,0.005584158415841584,67.14455445544554
600.0,1.73,2.82,140.0,19600.0,0.0028833333333333332,0.004699999999999999,56.51333333333333
600.0,1.73,2.82,140.0,19600.0,0.0028833333333333332,0.004699999999999999,56.51333333333333
600.0,1.73,2.82,140.0,19600.0,0.0028833333333333332,0.004699999999999999,56.51333333333333
600.0,1.73,2.82,140.0,19600.0,0.0028833333333333332,0.004699999999999999,56.51333333333333
600.0,1.73,2.82,140.0,19600.0,0.0028833333333333332,0.004699999999999999,56.51333333333333
405.0,2.23,3.45,140.0,19600.0,0.005506172839506173,0.008518518518518519,107.920987654321
405.0,2.23,3.45,140.0,19600.0,0.005506172839506173,0.008518518518518519,107.920987654321
405.0,2.23,3.45,140.0,19600.0,0.005506172839506173,0.008518518518518519,107.920987654321
405.0,2.23,3.45,140.0,19600.0,0.005506172839506173,0.008518518518518519,107.920987654321
405.0,2.23,3.45,140.0,19600.0,0.005506172839506173,0.008518518518518519,107.920987654321
505.0,2.23,3.45,140.0,19600.0,0.004415841584158415,0.006831683168316832,86.55049504950495
505.0,2.23,3.45,140.0,19600.0,0.004415841584158415,0.006831683168316832,86.55049504950495
505.0,2.23,3.45,140.0,19600.0,0.004415841584158415,0.006831683168316832,86.55049504950495
505.0,2.23,3.45,140.0,19600.0,0.004415841584158415,0.006831683168316832,86.55049504950495
505.0,2.23,3.45,140.0,19600.0,0.004415841584158415,0.006831683168316832,86.55049504950495
600.0,2.23,3.45,140.0,19600.0,0.0037166666666666667,0.00575,72.84666666666666
600.0,2.23,3.45,140.0,19600.0,0.0037166666666666667,0.00575,72.84666666666666
600.0,2.23,3.45,140.0,19600.0,0.0037166666666666667,0.00575,72.84666666666666
600.0,2.23,3.45,140.0,19600.0,0.0037166666666666667,0.00575,72.84666666666666
600.0,2.23,3.45,140.0,19600.0,0.0037166666666666667,0.00575,72.84666666666666
405.0,1.26,2.82,140.0,19600.0,0.003111111111111111,0.0069629629629629625,60.977777777777774
405.0,1.26,2.82,140.0,19600.0,0.003111111111111111,0.0069629629629629625,60.977777777777774
405.0,1.26,2.82,140.0,19600.0,0.003111111111111111,0.0069629629629629625,60.977777777777774
405.0,1.26,2.82,140.0,19600.0,0.003111111111111111,0.0069629629629629625,60.977777777777774
405.0,1.26,2.82,140.0,19600.0,0.003111111111111111,0.0069629629629629625,60.977777777777774
505.0,1.26,2.82,140.0,19600.0,0.002495049504950495,0.005584158415841584,48.902970297029704
505.0,1.26,2.82,140.0,19600.0,0.002495049504950495,0.005584158415841584,48.902970297029704
505.0,1.26,2.82,140.0,19600.0,0.002495049504950495,0.005584158415841584,48.902970297029704
505.0,1.26,2.82,140.0,19600.0,0.002495049504950495,0.005584158415841584,48.902970297029704
505.0,1.26,2.82,140.0,19600.0,0.002495049504950495,0.005584158415841584,48.902970297029704
600.0,1.26,2.82,140.0,19600.0,0.0021,0.004699999999999999,41.16
600.0,1.26,2.82,140.0,19600.0,0.0021,0.004699999999999999,41.16
