Concrete,Strand,Rebar,Span_ft,Gir Dep (in),Lat Spac (ft),No. of Gir,bot flange bot part depth (in),bot flange bot part width (in),Number of strand per girder,Harp Pos (ft),Combo,Design_Rank,Family_ID
505.0,2.23,2.82,100.0,63.18110236,6.142857143,7.0,9.823529412,35.05781777,38.0,45.84251969,21.0,3,505.0_2.23_2.82_100.0
505.0,2.23,2.82,100.0,70.74015748,7.166666667,6.0,8.470588235,26.88346457,38.0,43.07086614,21.0,4,505.0_2.23_2.82_100.0
505.0,2.23,2.82,100.0,59.1496063,7.166666667,6.0,10.05882353,27.49291339,50.0,40.04724409,21.0,5,505.0_2.23_2.82_100.0
600.0,2.23,2.82,100.0,66.56955605,6.142857143,7.0,14.53502049,15.57864393,36.0,48.55725263,27.0,1,600.0_2.23_2.82_100.0
600.0,2.23,2.82,100.0,69.22834646,7.166666667,6.0,0.8823529412,28.1023622,38.0,40.42519685,27.0,2,600.0_2.23_2.82_100.0
600.0,2.23,2.82,100.0,66.96062992,6.142857143,7.0,2.411764706,48.63982002,36.0,46.22047244,27.0,3,600.0_2.23_2.82_100.0
600.0,2.23,2.82,100.0,61.92125984,7.166666667,6.0,12.88235294,26.88346457,48.0,42.31496063,27.0,4,600.0_2.23_2.82_100.0
600.0,2.23,2.82,100.0,51.59055118,5.375,8.0,4.764705882,39.81732283,46.0,34.75590551,27.0,5,600.0_2.23_2.82_100.0
405.0,1.26,2.18,120.0,69.22834646,7.166666667,6.0,8.764705882,34.80629921,54.0,37.88976378,1.0,1,405.0_1.26_2.18_120.0
405.0,1.26,2.18,120.0,71.7480315,6.142857143,7.0,1.352941176,51.25174353,52.0,45.05511811,1.0,2,405.0_1.26_2.18_120.0
405.0,1.26,2.18,120.0,62.42519685,7.166666667,6.0,4.882352941,28.71181102,64.0,38.50393701,1.0,3,405.0_1.26_2.18_120.0
405.0,1.26,2.18,120.0,64.94488189,7.166666667,6.0,6.411764706,20.17952756,62.0,36.45669291,1.0,4,405.0_1.26_2.18_120.0
405.0,1.26,2.18,120.0,69.22834646,7.166666667,6.0,9.411764706,32.36850394,54.0,41.98425197,1.0,5,405.0_1.26_2.18_120.0
505.0,1.26,2.18,120.0,69.48031496,7.166666667,6.0,10.17647059,22.61732283,54.0,37.07086614,4.0,1,505.0_1.26_2.18_120.0
505.0,1.26,2.18,120.0,62.17322835,6.142857143,7.0,3.647058824,34.53543307,56.0,45.46456693,4.0,2,505.0_1.26_2.18_120.0
505.0,1.26,2.18,120.0,62.17322835,6.142857143,7.0,3.647058824,34.53543307,56.0,45.46456693,4.0,3,505.0_1.26_2.18_120.0
505.0,1.26,2.18,120.0,71.7480315,7.166666667,6.0,11.41176471,25.05511811,54.0,39.32283465,4.0,4,505.0_1.26_2.18_120.0
505.0,1.26,2.18,120.0,69.48031496,7.166666667,6.0,7.764705882,29.32125984,54.0,34.61417323,4.0,5,505.0_1.26_2.18_120.0
600.0,1.26,2.18,120.0,69.22834646,7.166666667,6.0,10.41176471,12.86614173,58.0,35.22834646,7.0,1,600.0_1.26_2.18_120.0
600.0,1.26,2.18,120.0,72.0,7.166666667,6.0,5.470588235,29.93070866,62.0,42.39370079,7.0,2,600.0_1.26_2.18_120.0
600.0,1.26,2.18,120.0,70.23622047,7.166666667,6.0,10.11764706,14.69448819,58.0,56.72440945,7.0,3,600.0_1.26_2.18_120.0
600.0,1.26,2.18,120.0,63.68503937,6.142857143,7.0,4.882352941,40.28166479,52.0,35.84251969,7.0,4,600.0_1.26_2.18_120.0
600.0,1.26,2.18,120.0,70.99212598,7.166666667,6.0,8.882352941,12.25669291,56.0,42.80314961,7.0,5,600.0_1.26_2.18_120.0
405.0,1.73,2.82,120.0,69.48031496,7.166666667,6.0,10.0,26.27401575,54.0,40.34645669,2.0,1,405.0_1.73_2.82_120.0
405.0,1.73,2.82,120.0,71.49606299,7.166666667,6.0,3.823529412,59.18425197,50.0,50.58267717,2.0,2,405.0_1.73_2.82_120.0
405.0,1.73,2.82,120.0,70.23622047,7.166666667,6.0,9.588235294,26.88346457,56.0,37.48031496,2.0,3,405.0_1.73_2.82_120.0
405.0,1.73,2.82,120.0,66.70866142,6.142857143,7.0,9.0,31.92350956,52.0,54.26771654,2.0,4,405.0_1.73_2.82_120.0
405.0,1.73,2.82,120.0,70.23622047,7.166666667,6.0,10.47058824,26.27401575,54.0,37.48031496,2.0,5,405.0_1.73_2.82_120.0
505.0,1.73,2.82,120.0,68.97637795,7.166666667,6.0,8.764705882,27.49291339,54.0,41.98425197,5.0,1,505.0_1.73_2.82_120.0
505.0,1.73,2.82,120.0,64.18897638,6.142857143,7.0,3.352941176,34.01304837,54.0,50.37795276,5.0,2,505.0_1.73_2.82_120.0
505.0,1.73,2.82,120.0,59.65354331,5.375,8.0,6.647058824,41.18858268,52.0,34.81889764,5.0,3,505.0_1.73_2.82_120.0
505.0,1.73,2.82,120.0,67.21259843,7.166666667,6.0,11.11764706,22.61732283,60.0,38.91338583,5.0,4,505.0_1.73_2.82_120.0
505.0,1.73,2.82,120.0,71.49606299,7.166666667,6.0,9.705882353,27.49291339,54.0,46.28346457,5.0,5,505.0_1.73_2.82_120.0
600.0,1.73,2.82,120.0,69.22834646,7.166666667,6.0,8.117647059,34.80629921,54.0,36.86614173,8.0,1,600.0_1.73_2.82_120.0
600.0,1.73,2.82,120.0,69.48031496,7.166666667,6.0,9.294117647,51.87086614,54.0,38.2992126,8.0,2,600.0_1.73_2.82_120.0
600.0,1.73,2.82,120.0,68.97637795,7.166666667,6.0,4.352941176,74.42047244,54.0,36.66141732,8.0,3,600.0_1.73_2.82_120.0
600.0,1.73,2.82,120.0,69.73228346,7.166666667,6.0,9.764705882,35.41574803,54.0,46.28346457,8.0,4,600.0_1.73_2.82_120.0
600.0,1.73,2.82,120.0,70.23622047,7.166666667,6.0,7.941176471,33.58740157,54.0,42.39370079,8.0,5,600.0_1.73_2.82_120.0
405.0,2.23,3.45,120.0,68.97637795,7.166666667,6.0,7.294117647,34.19685039,54.0,52.42519685,3.0,1,405.0_2.23_3.45_120.0
405.0,2.23,3.45,120.0,68.47244094,7.166666667,6.0,8.647058824,50.04251969,54.0,42.80314961,3.0,2,405.0_2.23_3.45_120.0
405.0,2.23,3.45,120.0,66.70866142,6.142857143,7.0,8.294117647,48.11743532,48.0,48.33070866,3.0,3,405.0_2.23_3.45_120.0
405.0,2.23,3.45,120.0,69.73228346,5.375,8.0,0.7058823529,42.55984252,44.0,41.57480315,3.0,4,405.0_2.23_3.45_120.0
405.0,2.23,3.45,120.0,71.24409449,7.166666667,6.0,6.764705882,51.26141732,50.0,37.07086614,3.0,5,405.0_2.23_3.45_120.0
505.0,2.23,3.45,120.0,70.48818898,7.166666667,6.0,8.764705882,26.88346457,54.0,43.41732283,6.0,1,505.0_2.23_3.45_120.0
505.0,2.23,3.45,120.0,62.92913386,7.166666667,6.0,5.823529412,22.61732283,64.0,55.08661417,6.0,2,505.0_2.23_3.45_120.0
505.0,2.23,3.45,120.0,69.48031496,7.166666667,6.0,3.705882353,46.99527559,58.0,43.82677165,6.0,3,505.0_2.23_3.45_120.0
505.0,2.23,3.45,120.0,56.62992126,5.375,8.0,10.70588235,43.01692913,50.0,35.22834646,6.0,4,505.0_2.23_3.45_120.0
505.0,2.23,3.45,120.0,66.70866142,6.142857143,7.0,3.058823529,56.47559055,54.0,51.60629921,6.0,5,505.0_2.23_3.45_120.0
600.0,2.23,3.45,120.0,69.48031496,7.166666667,6.0,8.235294118,28.1023622,54.0,35.43307087,9.0,1,600.0_2.23_3.45_120.0
600.0,2.23,3.45,120.0,70.99212598,6.142857143,7.0,0.2941176471,20.43104612,50.0,39.11811024,9.0,2,600.0_2.23_3.45_120.0
600.0,2.23,3.45,120.0,62.17322835,6.142857143,7.0,14.35294118,34.53543307,60.0,42.80314961,9.0,3,600.0_2.23_3.45_120.0
600.0,2.23,3.45,120.0,68.22047244,7.166666667,6.0,12.17647059,26.88346457,56.0,39.52755906,9.0,4,600.0_2.23_3.45_120.0
600.0,2.23,3.45,120.0,58.39370079,5.375,8.0,11.17647059,37.98897638,54.0,36.2519685,9.0,5,600.0_2.23_3.45_120.0
405.0,1.26,2.82,120.0,70.23622047,7.166666667,6.0,11.47058824,36.02519685,54.0,38.2992126,10.0,1,405.0_1.26_2.82_120.0
405.0,1.26,2.82,120.0,64.69291339,5.375,8.0,1.411764706,36.16062992,52.0,40.75590551,10.0,2,405.0_1.26_2.82_120.0
405.0,1.26,2.82,120.0,58.14173228,5.375,8.0,13.05882353,39.36023622,56.0,43.00787402,10.0,3,405.0_1.26_2.82_120.0
405.0,1.26,2.82,120.0,72.0,6.142857143,7.0,8.411764706,13.11766029,48.0,49.55905512,10.0,4,405.0_1.26_2.82_120.0
405.0,1.26,2.82,120.0,67.71653543,7.166666667,6.0,2.764705882,46.38582677,56.0,39.32283465,10.0,5,405.0_1.26_2.82_120.0
505.0,1.26,2.82,120.0,68.97637795,7.166666667,6.0,7.647058824,16.52283465,54.0,34.61417323,16.0,1,505.0_1.26_2.82_120.0
505.0,1.26,2.82,120.0,64.18897638,7.166666667,6.0,6.352941176,31.1496063,64.0,40.96062992,16.0,2,505.0_1.26_2.82_120.0
505.0,1.26,2.82,120.0,70.74015748,7.166666667,6.0,8.647058824,18.3511811,54.0,38.91338583,16.0,3,505.0_1.26_2.82_120.0
505.0,1.26,2.82,120.0,54.61417323,6.142857143,7.0,5.647058824,56.47559055,66.0,46.28346457,16.0,4,505.0_1.26_2.82_120.0
505.0,1.26,2.82,120.0,59.4015748,5.375,8.0,12.70588235,44.38818898,54.0,55.7007874,16.0,5,505.0_1.26_2.82_120.0
